candidate,risk_per_trade,leverage_vs_vt10,ann_vol,hist_m_mean,hist_m_median,hist_m_min,hist_mdd,hist_total,mc_monthly_median,mc_mdd_median,mc_mdd_p95,p_dd10,p_dd20,p_dd30,p_dd50,p_dd70,p_ruin,p_loss_year
C2_TREND_ALL_ENS,0.075,4.717938294375617,0.47179382943756176,0.026083181068275774,-0.0022645478597400626,-0.14278600935841346,0.35007556425007613,0.22831132079938055,0.017598597284175455,0.3889831622706447,0.6199958038968393,1.0,0.98692,0.7924,0.20692,0.0107,0.0,0.34438
C2_TREND_ALL_ENS,0.1,6.290584392500824,0.6290584392500824,0.030710291931645994,-0.0041735032301847275,-0.1908950895875302,0.45507147202125686,0.22338796647209103,0.016995103217360086,0.49563309848697784,0.7394976170631745,1.0,0.99944,0.95596,0.4872,0.08802,0.00016,0.3853
C3_XSMOM_EQ_ENS,0.001,0.06408482317952233,0.006408482317952233,-0.000631898364008444,-0.0005625118442927901,-0.0033984348218180083,0.011866485638630686,-0.006944358030791853,-0.0006240080643201695,0.012114507042463807,0.02351979659860935,0.0,0.0,0.0,0.0,0.0,0.0,0.83112
C3_XSMOM_EQ_ENS,0.0025,0.1602120579488058,0.01602120579488058,-0.0015835565465645623,-0.0014108647957254972,-0.008489873016599203,0.029482061481608035,-0.017377153993121675,-0.0015691456857621633,0.030095052954910606,0.05789949955459112,8e-05,0.0,0.0,0.0,0.0,0.0,0.83214
C3_XSMOM_EQ_ENS,0.005,0.3204241158976116,0.03204241158976116,-0.0031798230392626648,-0.002836972198523524,-0.016958896053390737,0.058352512668599754,-0.034802262477100054,-0.0031678973675536293,0.0595412893727601,0.11284319442898148,0.10334,2e-05,0.0,0.0,0.0,0.0,0.83454
C3_XSMOM_EQ_ENS,0.0075,0.48063617384641744,0.048063617384641745,-0.004788812569813248,-0.004278244428815414,-0.025406814532302535,0.08661570637756744,-0.05226369630002581,-0.00479615634552133,0.08835763951692394,0.1649488786867268,0.39272,0.0097,0.0,0.0,0.0,0.0,0.83664
C3_XSMOM_EQ_ENS,0.01,0.6408482317952232,0.06408482317952233,-0.0064105358035094154,-0.005734603307710584,-0.03383337602988978,0.11427624699220595,-0.0697499494542031,-0.00645632719835787,0.11654821743456362,0.2144087055229422,0.62424,0.07952,0.00138,0.0,0.0,0.0,0.83884
C3_XSMOM_EQ_ENS,0.015,0.9612723476928349,0.09612723476928349,-0.00969221393592612,-0.008692266325796782,-0.05062142920567392,0.16780898356126606,-0.10475157597858309,-0.00986494223359835,0.17103528903030796,0.30557568125374623,0.8596,0.35556,0.0576,2e-05,0.0,0.0,0.84334
C3_XSMOM_EQ_ENS,0.02,1.2816964635904464,0.12816964635904465,-0.013024894413861747,-0.0117093280041084,-0.06732107956879363,0.2189922050266383,-0.1397179973401218,-0.01339067745823197,0.22297655088845003,0.3874357927401583,0.9509,0.5962,0.22138,0.00218,0.0,0.0,0.84762
C3_XSMOM_EQ_ENS,0.03,1.9225446953856697,0.19225446953856698,-0.019843218255724115,-0.017919083967324334,-0.10044744272423556,0.3144926302203088,-0.20920242649869525,-0.020814278512399365,0.3199258392281608,0.5260813267161953,0.99348,0.84738,0.56266,0.07832,0.00032,0.0,0.85546
C3_XSMOM_EQ_ENS,0.05,3.2042411589761164,0.32042411589761166,-0.034089287265627106,-0.03102285688069195,-0.16555629473217137,0.4794617566207645,-0.34416317244831707,-0.03709508150491947,0.4870480977755664,0.7232947823247783,0.99992,0.98046,0.8778,0.46932,0.07454,2e-05,0.87114
C3_XSMOM_EQ_ENS,0.075,4.806361738464174,0.48063617384641744,-0.053023267565111006,-0.05519239707410761,-0.2446528823783657,0.6415791089189162,-0.4997979170219855,-0.06022012385272291,0.6508723096080433,0.8657926655383795,1.0,0.99834,0.97722,0.78472,0.38556,0.01392,0.8892
C3_XSMOM_EQ_ENS,0.1,6.408482317952233,0.6408482317952233,-0.07316947758934936,-0.09265341791321768,-0.321017912707527,0.7618841596357965,-0.6351465149045187,-0.08640935597852673,0.7710973658546657,0.9391344420564812,1.0,0.99988,0.99534,0.91656,0.65594,0.1115,0.9056
C4_CARRY_FX,0.001,0.07910578435367216,0.007910578435367216,5.711391007604235e-05,0.00028768242590948567,-0.005068698667143545,0.010021463013617504,0.0005800668256155106,5.35730180102334e-05,0.00872921921977371,0.017458116889625813,0.0,0.0,0.0,0.0,0.0,0.0,0.46794
C4_CARRY_FX,0.0025,0.1977644608841804,0.01977644608841804,0.0001494657393712462,0.0007138149744294608,-0.012637710933538937,0.024899776821268094,0.001342843752192513,0.00012364773591655442,0.021725238825615945,0.04315472372451203,0.0,0.0,0.0,0.0,0.0,0.0,0.47038
C4_CARRY_FX,0.005,0.3955289217683608,0.03955289217683608,0.00032118815089944195,0.0014096507039074169,-0.02516219074986059,0.04929050232802512,0.0023272856740270687,0.000213525114008295,0.04312505255783139,0.08472242284839544,0.01624,0.0,0.0,0.0,0.0,0.0,0.47496
C4_CARRY_FX,0.0075,0.5932933826525412,0.05932933826525412,0.0005151412279403553,0.0020874908691730365,-0.03757385828764925,0.07317944936772103,0.002952336035373593,0.0002721821292963611,0.06421269868168833,0.12473398901326184,0.14746,0.00044,0.0,0.0,0.0,0.0,0.47922
