rank,strategy_id,family,instruments,annual_return,avg_monthly_return,max_drawdown,min_monthly_return,sharpe,profitable_month_ratio,walk_forward_result,holdout_result,evidence
293,LIB_318,P_EMA_S,EQ,-0.1138890508243785,-0.009415430789052456,0.49384544463919156,-0.11305993012001636,-0.30904227181153027,0.4166666666666667,(in-sample конфигурация) 2026-01..06: +16.3%,2026-07..09: -1.9%,"library {""f"": 5, ""s"": 20, ""vn"": 20}"
294,LIB_421,P_BRK_L,ALL,-0.11399085819806822,-0.009227831377938856,0.30620708737842506,-0.10613892969558947,-0.5782871461062149,0.4,(in-sample конфигурация) 2026-01..06: -7.3%,2026-07..09: +1.7%,"library {""n"": 55, ""vn"": 60}"
295,LIB_325,P_BRK_L,EQ,-0.11657378561695805,-0.009637383070185024,0.2555302918080997,-0.10724503902019933,-0.5527018911370872,0.5,(in-sample конфигурация) 2026-01..06: -12.1%,2026-07..09: +5.2%,"library {""n"": 5, ""vn"": 20}"
296,C3_XSMOM_EQ_ENS,candidate,ALL/EQ,-0.11864754636597696,-0.009844493385344408,0.18593639594989553,-0.0530560103831132,-0.9579518424816642,0.36363636363636365,"OOS 2026-01..06: Sharpe -0.09, -0.7%, прибыльных мес. 33%","2026-07..09: -1.0%, прибыльных мес. 67%","frozen candidate, vol-target 10%"
297,LIB_015,P_BUYHOLD,FUT,-0.11967828050907701,-0.009894037740499092,0.6103353709331714,-0.18916940037161112,-0.4068535629195652,0.5833333333333334,(in-sample конфигурация) 2026-01..06: -24.5%,2026-07..09: +10.0%,"library {""vn"": 20}"
298,LIB_204,P_XS_MOM,EQ,-0.12391587690813524,-0.010203390658110342,0.195319641752576,-0.07579895085655153,-0.8111862464778266,0.4166666666666667,(in-sample конфигурация) 2026-01..06: +1.8%,2026-07..09: -4.7%,"library {""hold"": 1, ""k"": 2, ""n"": 10}"
299,LIB_131,P_XS_REV,FUT,-0.1250430365673965,-0.010337552626272858,0.3646319042891264,-0.088666359661147,-0.5681052581799846,0.4166666666666667,(in-sample конфигурация) 2026-01..06: -23.5%,2026-07..09: -2.6%,"library {""hold"": 5, ""k"": 3, ""n"": 5}"
300,LIB_158,P_XS_REV,FUT,-0.12655100665592245,-0.009993512033543085,0.16223861528851558,-0.07179812388494611,-0.5502188105337418,0.3,(in-sample конфигурация) 2026-01..06: -1.6%,2026-07..09: -9.0%,"library {""hold"": 1, ""k"": 1, ""n"": 60}"
301,LIB_385,P_BRK_L,ALL,-0.12694350533466786,-0.010494668099757595,0.31276725625502877,-0.10668020611046813,-0.4765224065873993,0.5,(in-sample конфигурация) 2026-01..06: -11.9%,2026-07..09: +7.1%,"library {""n"": 5, ""vn"": 20}"
302,LIB_134,P_XS_REV,FUT,-0.12796901254662232,-0.010537130993422275,0.23681930149177788,-0.10365952416759683,-0.589507760016374,0.3333333333333333,(in-sample конфигурация) 2026-01..06: -14.6%,2026-07..09: +0.4%,"library {""hold"": 1, ""k"": 1, ""n"": 10}"
303,LIB_364,P_TSMOM_S,ALL,-0.13384839013020972,-0.011065508443304376,0.5531899612469715,-0.16775937302736565,-0.3546384360287552,0.3333333333333333,(in-sample конфигурация) 2026-01..06: +24.5%,2026-07..09: -4.9%,"library {""n"": 5, ""vn"": 20}"
304,LIB_180,P_XS_MOM,EQ,-0.13647110878156674,-0.011282333728634816,0.2917644719937016,-0.089849048119504,-0.7725579188972138,0.3333333333333333,(in-sample конфигурация) 2026-01..06: -19.7%,2026-07..09: +10.8%,"library {""hold"": 1, ""k"": 2, ""n"": 3}"
305,LIB_183,P_XS_REV,EQ,-0.13739190270182736,-0.011358457564635197,0.2522639883100055,-0.09840537409763783,-0.9622870361626862,0.4166666666666667,(in-sample конфигурация) 2026-01..06: -16.7%,2026-07..09: +5.6%,"library {""hold"": 5, ""k"": 2, ""n"": 3}"
306,LIB_236,P_XS_MOM,EQ,-0.13746258629456423,-0.010855180425642175,0.24032029211593908,-0.07799266879737843,-0.6643831580136553,0.2,(in-sample конфигурация) 2026-01..06: -12.5%,2026-07..09: +2.9%,"library {""hold"": 1, ""k"": 4, ""n"": 60}"
307,LIB_315,P_EMA_L,EQ,-0.13781289924995507,-0.011393262173442054,0.2592366561293602,-0.07937488696916262,-0.662174173410486,0.4166666666666667,(in-sample конфигурация) 2026-01..06: -10.9%,2026-07..09: +2.5%,"library {""f"": 3, ""s"": 10, ""vn"": 20}"
308,LIB_040,P_EMA,EQ,-0.13892367735816516,-0.011485092374186934,0.42241362150525674,-0.1342285959981382,-0.38810768334440593,0.4166666666666667,(in-sample конфигурация) 2026-01..06: +15.3%,2026-07..09: -4.7%,"library {""f"": 10, ""s"": 50, ""vn"": 20}"
309,LIB_237,P_XS_MOM,EQ,-0.1427577615821741,-0.011273331172560574,0.2568352422094904,-0.08187195919890655,-0.6513625380394599,0.5,(in-sample конфигурация) 2026-01..06: -9.3%,2026-07..09: -1.2%,"library {""hold"": 5, ""k"": 4, ""n"": 60}"
310,LIB_326,P_BRK_S,EQ,-0.14347417751722968,-0.011861291130723354,0.490500670777692,-0.11841439678391907,-0.4220409040187206,0.3333333333333333,(in-sample конфигурация) 2026-01..06: +8.3%,2026-07..09: +3.8%,"library {""n"": 5, ""vn"": 20}"
311,LIB_125,P_XS_MOM,FUT,-0.14757250858523185,-0.012200108183302897,0.25309707322958275,-0.05845479761410388,-0.6758048388698301,0.3333333333333333,(in-sample конфигурация) 2026-01..06: +3.6%,2026-07..09: -3.8%,"library {""hold"": 5, ""k"": 2, ""n"": 5}"
312,LIB_223,P_XS_REV,EQ,-0.1476554906150805,-0.011669861857474947,0.2642949575038074,-0.07566854583274107,-0.6478324892689822,0.3333333333333333,(in-sample конфигурация) 2026-01..06: -15.5%,2026-07..09: +2.4%,"library {""hold"": 5, ""k"": 3, ""n"": 20}"
313,LIB_384,P_EMA_S,ALL,-0.14769793337630108,-0.012210477296321187,0.49067277618451044,-0.15131945227039978,-0.37709288976560473,0.4166666666666667,(in-sample конфигурация) 2026-01..06: +16.3%,2026-07..09: -8.1%,"library {""f"": 50, ""s"": 200, ""vn"": 20}"
314,LIB_351,P_EMA_L,EQ,-0.1485639671624876,-0.012326736092125595,0.25307555776817026,-0.06770695446175523,-0.9697995245094506,0.45454545454545453,(in-sample конфигурация) 2026-01..06: -16.3%,2026-07..09: -0.2%,"library {""f"": 20, ""s"": 100, ""vn"": 60}"
