rank,strategy_id,family,instruments,profitable_month_ratio,min_monthly_return,median_monthly_return,monthly_return_std,max_drawdown,longest_losing_month_streak,walk_forward_result,holdout_result,evidence
16,LIB_314,P_TSMOM_S,EQ,0.7142857142857143,-0.10310645238496363,0.030002001934917644,0.07519564321892395,0.3127706756349653,2.0,(in-sample конфигурация) 2026-01..06: +26.5%,2026-07..09: -6.6%,"library {""n"": 120, ""vn"": 20}"
17,LIB_374,P_TSMOM_S,ALL,0.7142857142857143,-0.11647437294595875,0.06466528307646513,0.09179461018304276,0.3369002296531107,2.0,(in-sample конфигурация) 2026-01..06: +37.8%,2026-07..09: -6.5%,"library {""n"": 120, ""vn"": 20}"
18,LIB_342,P_TSMOM_S,EQ,0.7,-0.052437003469094634,0.021949215122731403,0.06488709939834739,0.317685395013541,2.0,(in-sample конфигурация) 2026-01..06: +33.1%,2026-07..09: +1.3%,"library {""n"": 60, ""vn"": 60}"
19,LIB_084,P_TSMOM,ALL,0.7,-0.07878890124675308,0.024414563551545143,0.08429765058282342,0.3257995747262612,2.0,(in-sample конфигурация) 2026-01..06: +35.6%,2026-07..09: +1.8%,"library {""n"": 60, ""vn"": 60}"
20,LIB_402,P_TSMOM_S,ALL,0.7,-0.07893820240860805,0.01102096663089469,0.08866106126998721,0.35593854024773464,2.0,(in-sample конфигурация) 2026-01..06: +37.3%,2026-07..09: -0.7%,"library {""n"": 60, ""vn"": 60}"
21,LIB_156,P_XS_MOM,FUT,0.7,-0.07946804747916758,0.002764098724583164,0.04676126065641454,0.21584063695263467,1.0,(in-sample конфигурация) 2026-01..06: -4.5%,2026-07..09: +7.9%,"library {""hold"": 1, ""k"": 1, ""n"": 60}"
22,LIB_160,P_XS_MOM,FUT,0.7,-0.09220300428842165,0.009580108191585168,0.06559748214742253,0.23334784974849754,1.0,(in-sample конфигурация) 2026-01..06: +1.2%,2026-07..09: +8.7%,"library {""hold"": 1, ""k"": 2, ""n"": 60}"
23,LIB_020,P_TSMOM,FUT,0.7,-0.09641011939675082,0.017344153515296057,0.07367139686687305,0.23262781335506588,2.0,(in-sample конфигурация) 2026-01..06: +18.4%,2026-07..09: -0.3%,"library {""n"": 60, ""vn"": 60}"
24,LIB_282,P_TSMOM_S,FUT,0.7,-0.10688896871397446,0.01592979652923532,0.07073392361908225,0.18438531830906868,2.0,(in-sample конфигурация) 2026-01..06: +18.8%,2026-07..09: -2.6%,"library {""n"": 60, ""vn"": 60}"
25,LIB_123,P_XS_REV,FUT,0.6666666666666666,-0.04160770762246102,0.019775000957451994,0.035894402871345016,0.15704372629988939,1.0,(in-sample конфигурация) 2026-01..06: +6.7%,2026-07..09: -1.9%,"library {""hold"": 5, ""k"": 1, ""n"": 5}"
26,LIB_127,P_XS_REV,FUT,0.6666666666666666,-0.057402500677198987,0.011603142585954629,0.032398331759789366,0.1986002739849937,1.0,(in-sample конфигурация) 2026-01..06: -11.3%,2026-07..09: +1.1%,"library {""hold"": 5, ""k"": 2, ""n"": 5}"
27,LIB_007,P_EMA,FUT,0.6666666666666666,-0.06609482457861304,0.015874385106144473,0.08232448648339857,0.311222979028571,3.0,(in-sample конфигурация) 2026-01..06: +34.4%,2026-07..09: +4.1%,"library {""f"": 5, ""s"": 20, ""vn"": 20}"
28,LIB_045,P_BRK,EQ,0.6666666666666666,-0.07867742027156055,0.021951237726170802,0.06088531477434959,0.25282934145059244,3.0,(in-sample конфигурация) 2026-01..06: +21.9%,2026-07..09: +8.6%,"library {""n"": 20, ""vn"": 20}"
29,LIB_209,P_XS_MOM,EQ,0.6666666666666666,-0.08652179170167074,0.006969583355385112,0.03942993891912138,0.14688275821390562,2.0,(in-sample конфигурация) 2026-01..06: +12.8%,2026-07..09: -6.5%,"library {""hold"": 5, ""k"": 3, ""n"": 10}"
