rank,strategy_id,family,instruments,timeframe,avg_monthly_return,median_monthly_return,min_monthly_return,profitable_month_ratio,annual_return,max_drawdown,profit_factor,sharpe,sortino,calmar,trades,walk_forward_result,holdout_result,evidence
380,LIB_220,P_XS_MOM,EQ,1d,-0.012191663771015252,-0.009138975554378703,-0.06296191635374271,0.3333333333333333,-0.15425770394790847,0.27809029136551544,0.8516749813740264,-0.6757667853736317,-0.7661002040273447,-0.5547036654550291,239.0,(in-sample конфигурация) 2026-01..06: -2.6%,2026-07..09: -3.9%,"library {""hold"": 1, ""k"": 3, ""n"": 20}"
381,LIB_107,P_XS_REV,FUT,1d,-0.025449763360787376,-0.030917299154680222,-0.16378219246689696,0.3333333333333333,-0.30784033761208407,0.46081436554231914,0.774348513862554,-1.4993507206893715,-1.8821071510043614,-0.6680354620668035,243.0,(in-sample конфигурация) 2026-01..06: -34.9%,2026-07..09: -7.7%,"library {""hold"": 5, ""k"": 3, ""n"": 1}"
382,LIB_063,P_BUYHOLD,EQ,1d,-0.05305888066637139,-0.03443559817969799,-0.27927569951862097,0.36363636363636365,-0.6394748574225283,1.0876688902499154,0.7815935620146142,-1.4497605144719963,-1.9160582498918475,-0.5879315508192895,230.0,(in-sample конфигурация) 2026-01..06: -60.9%,2026-07..09: -8.4%,"library {""vn"": 60}"
383,LIB_102,P_XS_REV,FUT,1d,-0.027518161115949624,-0.02353565947851166,-0.20191888861882035,0.4166666666666667,-0.33285967685852663,0.443019791819097,0.7559181473952411,-1.6862440751083152,-2.199719061752299,-0.7513426781493473,246.0,(in-sample конфигурация) 2026-01..06: -34.0%,2026-07..09: +0.2%,"library {""hold"": 1, ""k"": 2, ""n"": 1}"
384,LIB_110,P_XS_REV,FUT,1d,-0.014495125937780054,-0.005481288186274469,-0.10900912204670021,0.3333333333333333,-0.17533304334338753,0.2370659924345091,0.8465867598543182,-1.0336780721560759,-1.4667164438047542,-0.7395959308327378,246.0,(in-sample конфигурация) 2026-01..06: -9.3%,2026-07..09: -1.2%,"library {""hold"": 1, ""k"": 1, ""n"": 3}"
385,LIB_361,P_BRK_L,EQ,1d,-0.01440414331445936,-0.007100993301719427,-0.0684149840453756,0.2,-0.1779335350609686,0.22903391395811923,0.8188406585975369,-1.0881116015157002,-1.421390707558471,-0.7768872826995623,173.0,(in-sample конфигурация) 2026-01..06: -11.9%,2026-07..09: +0.4%,"library {""n"": 55, ""vn"": 60}"
386,LIB_114,P_XS_REV,FUT,1d,-0.028376069052683306,-0.011060120130423456,-0.16803161532152444,0.4166666666666667,-0.34323693126125726,0.44752722846897086,0.76225497391842,-1.6217545102847182,-2.1630404291140186,-0.7669632358136069,246.0,(in-sample конфигурация) 2026-01..06: -28.3%,2026-07..09: -1.4%,"library {""hold"": 1, ""k"": 2, ""n"": 3}"
387,LIB_227,P_XS_REV,EQ,1d,-0.019630165731541638,-0.026639063347829506,-0.0812816249745083,0.25,-0.24837498398402477,0.30606321936284075,0.7733671105294623,-1.2069374855273451,-1.942477651393779,-0.8115152957650033,239.0,(in-sample конфигурация) 2026-01..06: -21.7%,2026-07..09: -0.0%,"library {""hold"": 5, ""k"": 4, ""n"": 20}"
388,LIB_331,P_BRK_L,EQ,1d,-0.016950720522436312,-0.0188275869586505,-0.07673600479029119,0.2,-0.20939125351244856,0.2673653964593541,0.81026578755238,-1.1273722897853344,-1.4922109617740908,-0.7831651226574529,173.0,(in-sample конфигурация) 2026-01..06: -14.6%,2026-07..09: +0.8%,"library {""n"": 55, ""vn"": 20}"
389,LIB_193,P_XS_MOM,EQ,1d,-0.02329582084954988,-0.032186687691137195,-0.07943859587976476,0.08333333333333333,-0.28178624899615534,0.2808286746585509,0.7250195826045901,-1.7389006793270345,-2.2516015648920495,-1.0034098168172063,250.0,(in-sample конфигурация) 2026-01..06: -8.8%,2026-07..09: -8.0%,"library {""hold"": 5, ""k"": 2, ""n"": 5}"
390,LIB_042,P_EMA,EQ,1d,-0.038386472879816814,-0.04426515330669645,-0.17919552736566402,0.3333333333333333,-0.4643227759542642,0.5220460653144983,0.7498424794915183,-1.481865972284477,-1.7878934140198894,-0.8894287435621996,250.0,(in-sample конфигурация) 2026-01..06: -10.4%,2026-07..09: -7.4%,"library {""f"": 50, ""s"": 200, ""vn"": 20}"
391,LIB_225,P_XS_MOM,EQ,1d,-0.024688218018127372,-0.013058732551144203,-0.09543112124083564,0.3333333333333333,-0.31237310161848186,0.34097591023601126,0.7171661533338207,-1.5075109968656533,-1.7289727467066405,-0.9161148698225292,239.0,(in-sample конфигурация) 2026-01..06: -14.9%,2026-07..09: -7.0%,"library {""hold"": 5, ""k"": 4, ""n"": 20}"
392,LIB_185,P_XS_MOM,EQ,1d,-0.02618295307790201,-0.029785583101329394,-0.14738022279925644,0.25,-0.3167090004303027,0.3141954369348241,0.6891873119023437,-2.007248031589415,-2.4817260441073623,-1.008,250.0,(in-sample конфигурация) 2026-01..06: -2.2%,2026-07..09: -19.5%,"library {""hold"": 5, ""k"": 3, ""n"": 3}"
393,LIB_106,P_XS_REV,FUT,1d,-0.04313473351188198,-0.029554483044194058,-0.2584974007913843,0.3333333333333333,-0.5217577365597243,0.6171874078572728,0.6718098871106831,-2.434718468634118,-3.0048921362723497,-0.8453797500035566,246.0,(in-sample конфигурация) 2026-01..06: -43.1%,2026-07..09: -10.5%,"library {""hold"": 1, ""k"": 3, ""n"": 1}"
394,LIB_144,P_XS_MOM,FUT,1d,-0.0189346940408844,-0.015046117303427309,-0.08685634017456323,0.3333333333333333,-0.23957537564700596,0.2997677409694006,0.8068617403033506,-1.0967786278536547,-1.2964457600090558,-0.79920332612261,235.0,(in-sample конфигурация) 2026-01..06: -3.7%,2026-07..09: -16.4%,"library {""hold"": 1, ""k"": 1, ""n"": 20}"
395,LIB_121,P_XS_MOM,FUT,1d,-0.024268739003673545,-0.027680084453095333,-0.08821175654884428,0.25,-0.2935546669884352,0.39879048423244967,0.7769896948879725,-1.4088946476394617,-1.7886784969507692,-0.7361125167102184,246.0,(in-sample конфигурация) 2026-01..06: -11.4%,2026-07..09: -0.0%,"library {""hold"": 5, ""k"": 1, ""n"": 5}"
396,LIB_188,P_XS_MOM,EQ,1d,-0.029191441077576503,-0.019678505705087446,-0.10024857098323992,0.25,-0.35309967127436537,0.44760690896509914,0.6750141437882075,-1.9247745202246684,-2.400448564953952,-0.7888610836922924,250.0,(in-sample конфигурация) 2026-01..06: -28.2%,2026-07..09: +3.5%,"library {""hold"": 1, ""k"": 4, ""n"": 3}"
