family,tf,cls,configs,ic_mean,ic_pos_months,top_minus_bottom,ens_oos_mean,ens_pos_months,ens_202601,ens_202602,ens_202603,ens_202604,ens_202605,ens_202606
R_VOLSPIKE_FADE,1,FUT,1296,0.906821325173146,6,41.685171013780874,-25.090731114517613,0,-22.915778839981407,-22.191345318522995,-25.645783367381195,-26.483106735466826,-26.459433476632466,-26.848938949120786
M_TSMOM,2,FUT,5832,0.9037472501400913,6,48.66982094581192,-15.899553076648035,0,-14.109300000952498,-16.1800224195914,-16.456395953505645,-16.79243334686762,-15.916274574199953,-15.94289216477109
R_BB,3,EQ,3456,0.9037373935356053,6,62.78222052904411,-24.564844670365687,0,-21.402593456542395,-20.543332690490395,-25.794399421321444,-25.63631510921931,-24.739095402817707,-29.27333194180286
T_DONCH_STOP,3,FUT,1620,0.9034329948106777,6,41.9359393433911,-17.628955711518866,0,-15.098466096216073,-19.13595301055341,-18.247085102751992,-18.622417694559694,-17.24148546285389,-17.42832690217814
R_BB,2,FUT,5184,0.9032329950986347,6,58.396993732220444,-25.115364092324082,0,-22.832705735047657,-21.24343665845796,-27.778181440939175,-26.819936870490572,-24.587826694309687,-27.430097154699435
V_NR_BREAK,5,EQ,648,0.9023560570705585,6,46.68327540343705,-16.559179965907035,0,-14.971706656982832,-16.37138337741518,-16.34054586191363,-17.897713185998704,-16.85594466824553,-16.91778604488635
M_ROC_VOTE,3,EQ,1728,0.90115948354299,6,38.86851113470834,-25.788054701546326,0,-27.103220070627845,-24.596426011295218,-22.883109922006188,-25.845789261116238,-28.246913106900028,-26.05286983733241
T_KELTNER,1,FUT,2916,0.9006607273456679,6,50.56232730533613,-38.9448431517743,0,-35.73851911768504,-37.187543489908315,-39.00286332675195,-41.4109582621127,-38.638222238076324,-41.69095247611151
U_SIGNED_VOL,3,FUT,3888,0.9005940659317816,6,45.16547092387575,-18.776190760289612,0,-17.403103115024393,-18.276782666491638,-19.573592248075823,-19.49379658861342,-18.398195206240086,-19.511674737292314
T_MTF,2,EQ,1728,0.8995273313493226,6,44.444676880991494,-26.650166082362464,0,-27.745500508083197,-25.043367083360867,-24.420312204012003,-26.460673272669155,-29.118901256103314,-27.112242169946267
T_DONCH,3,EQ,1080,0.8992403288843441,6,38.7201416352811,-19.287071015178565,0,-16.637233533912326,-19.6702528288556,-18.581846868446632,-20.473819068187346,-20.237473260281288,-20.121800531388196
U_BAR_PRESSURE,5,EQ,864,0.8984169608456054,6,38.58022508802004,-19.68897474155035,0,-21.093176457921224,-18.66519983840738,-18.262782031468916,-19.122713495290387,-20.752196090663798,-20.237780535550385
V_REGIME_TREND,1,FUT,1944,0.8974171883241002,6,38.940304128190874,-18.081382362423096,0,-16.152473847330466,-18.631497385572533,-18.854343966987386,-19.233319330021466,-18.74659724278069,-16.870062401846024
M_TSMOM,3,EQ,3888,0.8966777101647735,6,43.8809838290073,-16.088141770709832,0,-14.966113221153687,-15.605715685946306,-15.274458509200018,-16.799091106259258,-17.37984100984152,-16.503631091858193
M_ACCEL,5,EQ,864,0.8950862772765463,6,35.86028189983492,-25.59915363796988,0,-26.062914125902267,-23.93981769767315,-23.736389068051942,-25.773491042906183,-27.00398558128445,-27.078324312001314
U_VOL_BREAK,1,FUT,1296,0.8950337748865715,6,41.67721499303328,-33.190962313869825,0,-30.391362074946333,-32.93342136581313,-33.398313146061916,-34.53025713214679,-32.84511671386922,-35.04730345038152
V_RANGE_EXP,2,FUT,1944,0.8934705597049342,6,46.426384155827925,-16.47035198198229,0,-15.1926741347461,-15.162130438747878,-17.06059382109251,-17.720371076895578,-16.493632104005968,-17.19271031640571
