construction,haircut,scale,risk_per_trade,growth_12m_p50,growth_12m_p05,growth_12m_p95,monthly_p50,p_dd_gt_25,p_halt_30,maxdd_p50,maxdd_p95,p_loss_12m,worst_month_p50,half_kelly
A_ema_only,0.5,11.0,0.055,-0.0646697666881405,-0.3047138463419571,0.9385546984515651,-0.005555810858355881,0.98975,0.86475,-0.30577896039634744,-0.3357304238323118,0.589,-0.15315944635500855,4.45
A_ema_only,0.5,11.5,0.0575,-0.07954975574999612,-0.30562251679672636,0.8166669495770797,-0.00688389111339871,0.996,0.925,-0.30348091382225295,-0.33008423804622117,0.613,-0.15572702463196336,4.45
A_ema_only,0.5,12.0,0.06,-0.08386942119204899,-0.30826661140645517,0.8182745161673937,-0.0072731195161239715,0.99675,0.93975,-0.31559225799208723,-0.33343439260108687,0.613,-0.15798817876240678,4.45
A_ema_only,0.5,12.5,0.0625,-0.09069259483995296,-0.3103940182364654,0.8202181401318165,-0.007891370227336103,0.99775,0.9565,-0.3170527784927927,-0.3392317652514873,0.6265,-0.16387763270137679,4.45
A_ema_only,0.5,13.0,0.065,-0.09718924783800964,-0.31397586840783986,0.7852752400008158,-0.008483999708888246,0.99875,0.965,-0.31791408314656655,-0.3459844685259082,0.634,-0.16721814287191905,4.45
A_ema_only,0.5,13.5,0.0675,-0.10524152954219179,-0.3161577402278194,0.780898568999064,-0.009223984181549572,0.9995,0.9745,-0.3176892540685475,-0.35212174345859976,0.647,-0.16894554105738946,4.45
A_ema_only,0.5,14.0,0.07,-0.11543527772127016,-0.3169109261956419,0.6957154198031517,-0.010169569502735065,0.99925,0.988,-0.3119273003135932,-0.3631347361962052,0.654,-0.1696344552834071,4.45
A_ema_only,0.5,14.5,0.0725,-0.12223951129147659,-0.32154474150178913,0.6647785041814891,-0.01080631391540754,0.99925,0.9895,-0.3114059148713946,-0.3747946311284297,0.65625,-0.17424810664000856,4.45
A_ema_only,0.5,15.0,0.075,-0.129391203772818,-0.3224657063762012,0.6613647738208999,-0.011480469503442059,1.0,0.99325,-0.321181037594068,-0.3863642362131323,0.66525,-0.17786415188911314,4.45
A_ema_only,0.5,15.5,0.0775,-0.12788393271706255,-0.3278811281848053,0.688478667273585,-0.011337965210994727,0.99975,0.99575,-0.31153537717149693,-0.397843551450313,0.6605,-0.17923441030192505,4.45
A_ema_only,0.5,16.0,0.08,-0.09872686980645873,-0.31616699738073073,0.8060487764940045,-0.008624834704616946,1.0,0.99075,-0.3144341338194957,-0.36312891452841783,0.61625,-0.17143659051803306,4.45
A_ema_only,0.5,16.5,0.0825,-0.10028436980405897,-0.3216676320265651,0.7856234495458645,-0.008767715101360096,1.0,0.99275,-0.31956786824565625,-0.36776436982852806,0.6185,-0.1722817056199203,4.45
A_ema_only,0.5,17.0,0.085,-0.0992744633590743,-0.3266154065918918,0.7752988405636461,-0.008675043483746703,1.0,0.99425,-0.32127203511418184,-0.37245838047557117,0.6135,-0.17205763038636068,4.45
A_ema_only,0.5,17.5,0.08750000000000001,-0.0997824895351842,-0.3288803127115366,0.7162149772265283,-0.00872164936267894,1.0,0.998,-0.313036407612851,-0.36919495865947505,0.62425,-0.17057503406716512,4.45
A_ema_only,0.5,18.0,0.09,-0.10748396764338253,-0.33188920158446356,0.7251398038839794,-0.00943114530581346,1.0,0.99925,-0.3142820033299855,-0.3730607881946315,0.629,-0.1743026014509949,4.45
A_ema_only,0.5,18.5,0.0925,-0.11957300330529574,-0.3377650551085706,0.7126723844972722,-0.01055624309889791,1.0,0.9995,-0.3206790407889001,-0.3780510740113815,0.639,-0.1782197225279275,4.45
